configuration,complete,parameters,full144_inference_seconds,promotion_eligible,promotion_reasons,clean_Accuracy_mean,clean_Accuracy_seed_sd_ddof1,clean_Accuracy_seed17,clean_macro_F1_mean,clean_macro_F1_seed_sd_ddof1,clean_macro_F1_seed17,clean_MAE_mean,clean_MAE_seed_sd_ddof1,clean_MAE_seed17,clean_Pearson_mean,clean_Pearson_seed_sd_ddof1,clean_Pearson_seed17,attempted96_macro_F1_mean,attempted96_macro_F1_seed_sd_ddof1,attempted96_macro_F1_seed17,attempted96_MAE_mean,attempted96_MAE_seed_sd_ddof1,attempted96_MAE_seed17
W1-bN-p04,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED,0.613095238095238,0.012763150059309867,0.6071428571428571,0.5943143102558869,0.013889851167299953,0.5852423974058364,0.6139217321270025,0.004132739372869209,0.6184329031512479,0.6269276186466332,0.002744819638084936,0.6250265895912972,0.584370043845488,0.011175612283305672,0.5760769279589485,0.6262397245871196,0.0017792466086683457,0.6280586231450082
W2-bN-m04,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED,0.6314102564102564,0.006491504981116197,0.6291208791208791,0.5677247418972197,0.012090365541157867,0.5724122155798756,0.6064573790679074,0.012611214822979824,0.6207927082841806,0.6245810466223903,0.010593265619340242,0.6133477298077994,0.562821659007194,0.0074472799855554075,0.5614892069450507,0.6173878013209649,0.009913350475566008,0.6287628558306447
W2-bN-m02,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;THREE_SEED_MEAN:attempted96:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED,0.6272893772893773,0.00839299577830737,0.6181318681318682,0.5784083372292695,0.011184548004232216,0.5685751027393633,0.6064573790679074,0.012611214822979824,0.6207927082841806,0.6245810466223903,0.010593265619340242,0.6133477298077994,0.576329822914739,0.011197233014765665,0.565978277962717,0.6173878013209649,0.009913350475566008,0.6287628558306447
W2-bN-zero,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED;FIXED_SEED17:attempted96:macro_F1:DEGRADED,0.6309523809523809,0.013055473836431561,0.6181318681318682,0.5966727372679004,0.015295064611428117,0.5825208113112317,0.6064573790679074,0.012611214822979824,0.6207927082841806,0.6245810466223903,0.010593265619340242,0.6133477298077994,0.5882895575537419,0.01397597645196992,0.5749746961725294,0.6173878013209649,0.009913350475566008,0.6287628558306447
W2-bN-p02,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;THREE_SEED_MEAN:clean:macro_F1:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED,0.6208791208791209,0.005494505494505475,0.6153846153846154,0.596187974510617,0.007721555406360614,0.5872736776621262,0.6064573790679074,0.012611214822979824,0.6207927082841806,0.6245810466223903,0.010593265619340242,0.6133477298077994,0.5910991336958543,0.009145320522293207,0.5815036823824428,0.6173878013209649,0.009913350475566008,0.6287628558306447
W2-bN-p04,True,105928,50.23401566666871,False,THREE_SEED_MEAN:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:Accuracy:DEGRADED;FIXED_SEED17:clean:macro_F1:DEGRADED,0.6195054945054945,0.005987498548819585,0.6153846153846154,0.6033955853723078,0.0065869872237286796,0.5960803890868108,0.6064573790679074,0.012611214822979824,0.6207927082841806,0.6245810466223903,0.010593265619340242,0.6133477298077994,0.5936432164617689,0.007300803896253315,0.5853351318302428,0.6173878013209649,0.009913350475566008,0.6287628558306447
M1,True,77542,42.72219536666429,False,THREE_SEED_MEAN:clean:macro_F1:DEGRADED,0.6396520146520146,0.006194024385745765,0.6456043956043956,0.600888190741594,0.0009677650310566547,0.6018975285071843,0.5985093242315563,0.006590081448872199,0.6055190478743228,0.6484158182572312,0.002713839321736551,0.6494601286237077,0.5905542407389698,0.004307473656980441,0.5932597079172501,0.6140966243422626,0.004537377387405875,0.617034165578779
M2,True,77542,42.34711726666865,True,,0.6433150183150184,0.0063445084526332915,0.646978021978022,0.6213048327589198,0.004502141978145457,0.6217975684111576,0.6022178216656328,0.005496173939550187,0.5994685971997499,0.641617188803388,0.014607312915788312,0.6516016638963957,0.6068921444616672,0.0028632491083182515,0.6075215442999251,0.6185338718337393,0.007845890737691073,0.612426662122236
M3,True,77542,42.71903483333396,True,,0.6373626373626373,0.012362637362637374,0.6497252747252747,0.6023410971315712,0.004444046832836941,0.6032693146024539,0.6154889787855705,0.02852051036273342,0.6022364066032294,0.6403120887886722,0.018446243953039076,0.6547656655687731,0.588550751301193,0.005912149262299178,0.5952811653773636,0.6277494576704313,0.029727360658611163,0.6127394276956017
M4,True,77542,42.61198363333339,True,,0.6433150183150184,0.007048903076163324,0.6510989010989011,0.6020053638708323,0.0032907541426658287,0.6057363322487381,0.6071870608508246,0.012098311178828494,0.6090073217143711,0.6414239961099031,0.007929600031402036,0.650475379748927,0.5890368366227136,0.005537045389121228,0.5953133053628236,0.6196336521467414,0.011374502765140957,0.6193196626978906
