configuration,complete,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE,macro_F1_mean,MAE_mean
M3,True,modality,T,16,29,1.0,0.5654881142268127,0.6751282363967577,0.5752597596879486,0.6396789620851909
M3,True,modality,T,16,43,1.0,0.5750898709327578,0.6208712942982794,0.5752597596879486,0.6396789620851909
M3,True,modality,TA,16,17,0.992445054945055,0.5872276932470094,0.6233642137324588,0.5763754582316732,0.6406296691979477
M3,True,modality,TA,16,29,0.992445054945055,0.5651304451700363,0.6775130786416299,0.5763754582316732,0.6406296691979477
M3,True,modality,TA,16,43,0.992445054945055,0.5767682362779742,0.6210117152197545,0.5763754582316732,0.6406296691979477
M3,True,modality,TV,16,17,0.9625686813186813,0.5889717950192119,0.6211527154617202,0.576802160399641,0.6378176374913186
M3,True,modality,TV,16,29,0.9625686813186813,0.568239229179429,0.6739016174624373,0.576802160399641,0.6378176374913186
M3,True,modality,TV,16,43,0.9625686813186813,0.5731954570002823,0.6183985795497982,0.576802160399641,0.6378176374913186
M3,True,modality,V,16,17,0.9625686813186813,0.6023622273290093,0.6024975362857771,0.6033022221401002,0.6154924422975948
M3,True,modality,V,16,29,0.9625686813186813,0.6077069525280168,0.6477248845907918,0.6033022221401002,0.6154924422975948
M3,True,modality,V,16,43,0.9625686813186813,0.5998374865632746,0.5962549060162156,0.6033022221401002,0.6154924422975948
M3,True,rate,0.1,24,17,0.9809981684981685,0.6029164151799596,0.6045506405573958,0.6005739808045771,0.6182642674380623
M3,True,rate,0.1,24,29,0.9809981684981685,0.602992111361918,0.6511899349503888,0.6005739808045771,0.6182642674380623
M3,True,rate,0.1,24,43,0.9809981684981685,0.5958134158718538,0.5990522268064021,0.6005739808045771,0.6182642674380623
M3,True,rate,0.3,24,17,0.9809981684981685,0.5981300595565662,0.6088505366270833,0.5933471749921572,0.6242381936618066
M3,True,rate,0.3,24,29,0.9809981684981685,0.5908208498879682,0.6593981107433113,0.5933471749921572,0.6242381936618066
M3,True,rate,0.3,24,43,0.9809981684981685,0.591090615531937,0.6044659336150248,0.5933471749921572,0.6242381936618066
M3,True,rate,0.5,24,17,0.9809981684981685,0.5936730060980006,0.6125055308136732,0.5831754852446455,0.6294955916540607
M3,True,rate,0.5,24,29,0.9809981684981685,0.5774565366029014,0.6653067783322452,0.5831754852446455,0.6294955916540607
M3,True,rate,0.5,24,43,0.9809981684981685,0.5783969130330342,0.6106744658162635,0.5831754852446455,0.6294955916540607
M3,True,rate,0.7,24,17,0.9720695970695972,0.5864051806749282,0.6250510027842547,0.5771063641633926,0.6389997779277959
M3,True,rate,0.7,24,29,0.9720695970695972,0.565513580974707,0.6720615701927386,0.5771063641633926,0.6389997779277959
M3,True,rate,0.7,24,43,0.9720695970695972,0.5794003308405425,0.6198867608063943,0.5771063641633926,0.6389997779277959
M3,True,position,back,24,17,0.9787660256410257,0.5941949001040675,0.6148177900235462,0.5888304991323178,0.6298345612799389
M3,True,position,back,24,29,0.9787660256410257,0.5860631761811032,0.6657667987023853,0.5888304991323178,0.6298345612799389
M3,True,position,back,24,43,0.9787660256410257,0.5862334211117828,0.6089190951138851,0.5888304991323178,0.6298345612799389
M3,True,position,front,24,17,0.9787660256410257,0.5931347500188929,0.6171044353552081,0.5875260858540986,0.6323841119322272
M3,True,position,front,24,29,0.9787660256410257,0.5852380410384662,0.6644930091905545,0.5875260858540986,0.6323841119322272
M3,True,position,front,24,43,0.9787660256410257,0.5842054665049369,0.6155548912509189,0.5875260858540986,0.6323841119322272
M3,True,position,middle,24,17,0.9787660256410257,0.5991772816547133,0.6074494376745141,0.589491100142498,0.6220173070499845
M3,True,position,middle,24,29,0.9787660256410257,0.581824828801886,0.6568381745769379,0.589491100142498,0.6220173070499845
M3,True,position,middle,24,43,0.9787660256410257,0.5874711899708943,0.6017643088985013,0.589491100142498,0.6220173070499845
M3,True,position,random,24,17,0.9787660256410257,0.594617729731781,0.6115860477291387,0.5883553200758579,0.6267618504195748
M3,True,position,random,24,29,0.9787660256410257,0.5836570328060394,0.6608584117488062,0.5883553200758579,0.6267618504195748
M3,True,position,random,24,43,0.9787660256410257,0.5867911976897535,0.6078410917807793,0.5883553200758579,0.6267618504195748
M4,True,modality,A,16,17,0.992445054945055,0.603964390953985,0.6103667411338786,0.6009867312668212,0.6082912548942611
M4,True,modality,A,16,29,0.992445054945055,0.599778218390249,0.6191495274072959,0.6009867312668212,0.6082912548942611
M4,True,modality,A,16,43,0.992445054945055,0.5992175844562296,0.5953574961416088,0.6009867312668212,0.6082912548942611
M4,True,modality,AV,16,17,0.9625686813186813,0.604985178232755,0.6103494350208809,0.6016795364097219,0.6083323521827849
M4,True,modality,AV,16,29,0.9625686813186813,0.6015377996134278,0.6189894367233091,0.6016795364097219,0.6083323521827849
M4,True,modality,AV,16,43,0.9625686813186813,0.598515631382983,0.5956581848041647,0.6016795364097219,0.6083323521827849
M4,True,modality,T,16,17,1.0,0.5835275212522878,0.6301766124353536,0.5746267582108623,0.6323925273813956
M4,True,modality,T,16,29,1.0,0.5674646359907839,0.6441543869185951,0.5746267582108623,0.6323925273813956
M4,True,modality,T,16,43,1.0,0.5728881173895151,0.6228465827902382,0.5746267582108623,0.6323925273813956
M4,True,modality,TA,16,17,0.992445054945055,0.5878539077249719,0.6292783875838263,0.5775175165522967,0.6319941491700729
M4,True,modality,TA,16,29,0.992445054945055,0.5691975159052081,0.6446749169933685,0.5775175165522967,0.6319941491700729
M4,True,modality,TA,16,43,0.992445054945055,0.57550112602671,0.6220291429330239,0.5775175165522967,0.6319941491700729
M4,True,modality,TV,16,17,0.9625686813186813,0.5870743428567606,0.6264408692562032,0.5780306864883623,0.6293455872042232
M4,True,modality,TV,16,29,0.9625686813186813,0.5725608454167498,0.6417715474050995,0.5780306864883623,0.6293455872042232
M4,True,modality,TV,16,43,0.9625686813186813,0.5744568711915764,0.6198243449513668,0.5780306864883623,0.6293455872042232
M4,True,modality,V,16,17,0.9625686813186813,0.6044744911561815,0.6093059307572014,0.6013797908082172,0.6074460420477108
M4,True,modality,V,16,29,0.9625686813186813,0.5985217401808919,0.6182315775356138,0.6013797908082172,0.6074460420477108
M4,True,modality,V,16,43,0.9625686813186813,0.6011431410875785,0.5948006178503172,0.6013797908082172,0.6074460420477108
M4,True,rate,0.1,24,17,0.9809981684981685,0.6014127012276518,0.6113943191889414,0.5983967606298464,0.6100072441117163
M4,True,rate,0.1,24,29,0.9809981684981685,0.5947957966255599,0.6214893426228391,0.5983967606298464,0.6100072441117163
M4,True,rate,0.1,24,43,0.9809981684981685,0.5989817840363274,0.5971380705233682,0.5983967606298464,0.6100072441117163
M4,True,rate,0.3,24,17,0.9809981684981685,0.5991386133229651,0.6154715092046182,0.5931737160482052,0.6149511260397551
M4,True,rate,0.3,24,29,0.9809981684981685,0.5893790089868262,0.626067135585996,0.5931737160482052,0.6149511260397551
M4,True,rate,0.3,24,43,0.9809981684981685,0.5910035258348242,0.6033147333286512,0.5931737160482052,0.6149511260397551
M4,True,rate,0.5,24,17,0.9809981684981685,0.5929718781512943,0.6199899623636193,0.5839097870259496,0.6216856713881761
M4,True,rate,0.5,24,29,0.9809981684981685,0.5802405552997528,0.6340590865838704,0.5839097870259496,0.6216856713881761
M4,True,rate,0.5,24,43,0.9809981684981685,0.578516927626802,0.6110079652170386,0.5839097870259496,0.6216856713881761
M4,True,rate,0.7,24,17,0.9720695970695972,0.5877300287493833,0.6304228600343839,0.5806670827868532,0.6318905670473183
M4,True,rate,0.7,24,29,0.9720695970695972,0.5749584760860681,0.6430320305294822,0.5806670827868532,0.6318905670473183
M4,True,rate,0.7,24,43,0.9720695970695972,0.5793127435251082,0.6222168105780886,0.5806670827868532,0.6318905670473183
M4,True,position,back,24,17,0.9787660256410257,0.591318871845896,0.6217348119603713,0.585878878622616,0.6212814568946529
M4,True,position,back,24,29,0.9787660256410257,0.5798932240357122,0.6343308039327767,0.585878878622616,0.6212814568946529
M4,True,position,back,24,43,0.9787660256410257,0.5864245399862398,0.6077787547908103,0.585878878622616,0.6212814568946529
M4,True,position,front,24,17,0.9787660256410257,0.5947605976333937,0.623719623057056,0.5888819502892249,0.6252317634563166
M4,True,position,front,24,29,0.9787660256410257,0.5854190106738675,0.6360846461734265,0.5888819502892249,0.6252317634563166
M4,True,position,front,24,43,0.9787660256410257,0.5864662425604134,0.615891021138467,0.5888819502892249,0.6252317634563166
M4,True,position,middle,24,17,0.9787660256410257,0.6004418288524302,0.6137849062226332,0.5922923567477575,0.613443383660856
M4,True,position,middle,24,29,0.9787660256410257,0.5883202868008203,0.6245239144920675,0.5922923567477575,0.613443383660856
M4,True,position,middle,24,43,0.9787660256410257,0.588114954590022,0.6020213302678675,0.5922923567477575,0.613443383660856
M4,True,position,random,24,17,0.9787660256410257,0.5947319231195746,0.6180393095515023,0.589094160831256,0.6185780045751402
M4,True,position,random,24,29,0.9787660256410257,0.585741315487807,0.6297082307239171,0.589094160831256,0.6185780045751402
M4,True,position,random,24,43,0.9787660256410257,0.5868092438863864,0.6079864734500015,0.589094160831256,0.6185780045751402
W0-bN-m04,True,modality,A,16,17,0.992445054945055,0.5728946880248951,0.6806186198643008,0.5671185154177658,0.6445943788764317
W0-bN-m04,True,modality,A,16,29,0.992445054945055,0.56160443731746,0.6244461444764053,0.5671185154177658,0.6445943788764317
W0-bN-m04,True,modality,A,16,43,0.992445054945055,0.5668564209109423,0.6287183722885887,0.5671185154177658,0.6445943788764317
W0-bN-m04,True,modality,AV,16,17,0.9625686813186813,0.5684664754895118,0.6813647444570408,0.5663896227390008,0.6446417188554268
W0-bN-m04,True,modality,AV,16,29,0.9625686813186813,0.5629287472583555,0.6239746259506895,0.5663896227390008,0.6446417188554268
W0-bN-m04,True,modality,AV,16,43,0.9625686813186813,0.5677736454691353,0.62858578615855,0.5663896227390008,0.6446417188554268
W0-bN-m04,True,modality,T,16,17,1.0,0.5558888033888978,0.6987696919251782,0.5599716131917788,0.6649240526595217
