configuration,status,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,29,0.9809981684981685,0.3581837652356015,0.8472132791220436
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,43,0.9809981684981685,0.3645819612091934,0.8707301232316351
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,17,0.9720695970695972,0.34572697829405613,0.879278539674823
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,29,0.9720695970695972,0.3573873143432671,0.8611767932447586
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,43,0.9720695970695972,0.36033061064322497,0.8852874553727622
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,17,0.9787660256410257,0.3486027817257011,0.8578849794856188
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,29,0.9787660256410257,0.3600600521737163,0.8509878819533343
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,43,0.9787660256410257,0.3635702421481084,0.8680557480968942
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,17,0.9787660256410257,0.3530764363225594,0.8585895329450755
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,29,0.9787660256410257,0.36391881806929693,0.8488930120660264
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,43,0.9787660256410257,0.3600547651711839,0.8709135109997005
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,17,0.9787660256410257,0.34626762839347885,0.8588543833253631
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,29,0.9787660256410257,0.35976291434247054,0.8425061211067696
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,43,0.9787660256410257,0.36711799102126524,0.8648367811222473
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,17,0.9787660256410257,0.3488412651550962,0.8593058229583669
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,29,0.9787660256410257,0.36096050007712166,0.847948686172205
