configuration,status,condition,target_modality_group,nominal_supported_window_fraction,position,random_replicates,eligible_count,total_count,coverage,CLEAN_ONCE_fallback_count,completed_seeds,macro_F1_mean,macro_F1_seed_sd_ddof1,MAE_mean,MAE_seed_sd_ddof1
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:random,V,0.1,random,3,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:front,V,0.3,front,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:middle,V,0.3,middle,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:back,V,0.3,back,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:random,V,0.3,random,3,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:front,V,0.5,front,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:middle,V,0.5,middle,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:back,V,0.5,back,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:random,V,0.5,random,3,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:front,V,0.7,front,1,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:middle,V,0.7,middle,1,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:back,V,0.7,back,1,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:random,V,0.7,random,3,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.1:front,TA,0.1,front,1,724,728,0.9945054945054945,4,17;29;43,0.3060426365133548,0.019239893187058415,0.8192420759679764,0.03658969324478811
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.1:middle,TA,0.1,middle,1,724,728,0.9945054945054945,4,17;29;43,0.2969823657033621,0.010263426211396368,0.8185576926568231,0.03610885159458368
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.1:back,TA,0.1,back,1,724,728,0.9945054945054945,4,17;29;43,0.30435511599914383,0.014065811927594728,0.8197268086101565,0.036428009018812296
