configuration,status,condition,target_modality_group,nominal_supported_window_fraction,position,random_replicates,eligible_count,total_count,coverage,CLEAN_ONCE_fallback_count,seed,macro_F1,MAE
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:middle,A,0.7,middle,1,718,728,0.9862637362637363,10,17,0.3014975937183384,0.7937794222850173
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:middle,A,0.7,middle,1,718,728,0.9862637362637363,10,29,0.3124728983018032,0.8669927058467043
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:middle,A,0.7,middle,1,718,728,0.9862637362637363,10,43,0.27967473146162275,0.8133364891867502
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:back,A,0.7,back,1,718,728,0.9862637362637363,10,17,0.29245169419096767,0.7952884318253312
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:back,A,0.7,back,1,718,728,0.9862637362637363,10,29,0.2966983682734227,0.8619617509179439
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:back,A,0.7,back,1,718,728,0.9862637362637363,10,43,0.3042864087013542,0.8182471622828046
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:random,A,0.7,random,3,718,728,0.9862637362637363,10,17,0.29398749693838294,0.7952427234547127
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:random,A,0.7,random,3,718,728,0.9862637362637363,10,29,0.3158959067635522,0.8709687430687371
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:random,A,0.7,random,3,718,728,0.9862637362637363,10,43,0.2824881986291278,0.8190906997753014
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:front,V,0.1,front,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:front,V,0.1,front,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:front,V,0.1,front,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:middle,V,0.1,middle,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:middle,V,0.1,middle,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:middle,V,0.1,middle,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:back,V,0.1,back,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:back,V,0.1,back,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:back,V,0.1,back,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:random,V,0.1,random,3,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:random,V,0.1,random,3,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.1:random,V,0.1,random,3,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:front,V,0.3,front,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:front,V,0.3,front,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:front,V,0.3,front,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:middle,V,0.3,middle,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:middle,V,0.3,middle,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:middle,V,0.3,middle,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:back,V,0.3,back,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:back,V,0.3,back,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:back,V,0.3,back,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:random,V,0.3,random,3,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:random,V,0.3,random,3,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.3:random,V,0.3,random,3,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:front,V,0.5,front,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:front,V,0.5,front,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:front,V,0.5,front,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:middle,V,0.5,middle,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:middle,V,0.5,middle,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:middle,V,0.5,middle,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:back,V,0.5,back,1,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:back,V,0.5,back,1,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:back,V,0.5,back,1,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:random,V,0.5,random,3,703,728,0.9656593406593407,25,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:random,V,0.5,random,3,703,728,0.9656593406593407,25,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.5:random,V,0.5,random,3,703,728,0.9656593406593407,25,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:front,V,0.7,front,1,694,728,0.9532967032967034,34,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:front,V,0.7,front,1,694,728,0.9532967032967034,34,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:front,V,0.7,front,1,694,728,0.9532967032967034,34,43,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:middle,V,0.7,middle,1,694,728,0.9532967032967034,34,17,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:middle,V,0.7,middle,1,694,728,0.9532967032967034,34,29,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,V:0.7:middle,V,0.7,middle,1,694,728,0.9532967032967034,34,43,0.29467816271417746,0.8105619313658451
